timestamp,Gender,Age,_Sector,_Department,Familiarity,Resistance,Openness,Usage,Tools,Motivations,Issues,IssuesDetails,Trust,Concerns,LossOfAutonomy,ReducedThinking,FearOfJobLoss,FearOfJobLossDetails,OtherConcerns,OtherConcernsDetails,Involved,WantToBeInvolved,ImpactOfBeingInvolved,WillingnessForTraining,Suggestions,Sector,Department,SupportDepartment,*Familiarity,*Openness,*Usage,*LossOfAutonomy,*ReducedThinking,*WillingnessForTraining
06/05/2024 14:13:42,Autre,18-25 ans,Technologies de l'information et de la communication (TIC),R&D,Un peu familier,Non,Très ouvert,Jamais,{'Reconnaissance faciale/biometrique'},"{""Pas d'IA""}",Je ne m'en suis jamais servi,,2,Oui,Un peu,Considérablement,Non,"L'IA est encore trop bête pour ça, et je pense que j'ai le temps avant qu'elle devienne suffisamment intelligente pour me voler mon travail.",Oui,"Les services externes d'IA sont une très grosse brèche de sécurité : je ne peux pas demander à ChatGPT d'écrire du code pour moi sans briser les clauses de non-divulgation de mon contrat. Au niveau de la génération d'images, on a également des risques au niveau des droits d'auteur, qui est encore quelque chose d'assez flou.",Non,Non,Non,Peut-être,,TIC,R&D,opé,1,3,0,1.0,3.0,1
06/05/2024 14:24:14,Homme,25-35 ans,Immobilier,Finance/Comptabilité,Un peu familier,Non,Très ouvert,Jamais,{'Autres'},"{'Gain de temps', 'Accès à des recommandations personnalisées', 'Amélioration de la productivité', 'Simplification des tâches quotidiennes'}",Non,,3,Non,Partiellement,Un peu,Non,Métier de contrôle indispensable,Non,,Non,Non,Oui,"Oui, certainement",,Immobilier et Construction,Finance et Comptabilité,sup,1,3,0,,1.0,2
06/05/2024 14:46:05,Homme,18-25 ans,Transport et logistique,Supply Chain,"Oui, très familier",Non,Très ouvert,Parfois,"{'Reconnaissance faciale/biometrique', 'Language Model'}","{'Gain de temps', 'Amélioration de la productivité', 'Simplification des tâches quotidiennes'}",Non,,3,Non,Un peu,Considérablement,Non,L'utilisation de l'IA requiert un utilisateur disposant d'esprit critique et de culture de son métier pour valider la donnée obtenue par IA,Non,,Oui,Oui,Oui,"Oui, certainement",,Transport et Logistique,Achats et Supply Chain,opé,2,3,2,1.0,3.0,2
06/05/2024 14:46:37,Femme,25-35 ans,Immobilier,Investissement,Un peu familier,Non,Plutôt ouvert,Jamais,"{'Reconnaissance faciale/biometrique', 'Language Model'}","{'Gain de temps', 'Amélioration de la productivité'}",Je ne m'en suis jamais servi,,3,Oui,Partiellement,Partiellement,Non,L'IA doit être une aide mais la décision et le regard critique reste à ma main,Oui,Ne pas savoir suffisamment bien l'utiliser au quotidien et perdre en productivité par rapport à d'autres qui auraient été mieux formés,Non,Oui,Oui,"Oui, certainement",,Immobilier et Construction,Finance et Comptabilité,opé,1,2,0,,,2
06/05/2024 15:07:09,Homme,25-35 ans,Immobilier,Finance/Comptabilité,"Oui, très familier",Non,Plutôt ouvert,Parfois,{'Language Model'},"{'Gain de temps', 'Amélioration de la productivité', 'Simplification des tâches quotidiennes'}",Oui,"Fausse réponse, hallucination",3,Non,Un peu,Un peu,Non,Les taches à plus forte valeur ajoutée resteront à la main des humains,Non,,Non,Oui,Oui,"Oui, certainement",,Immobilier et Construction,Finance et Comptabilité,sup,2,2,2,1.0,1.0,2
06/05/2024 15:07:35,Autre,25-35 ans,Construction et génie civil,Gestion de projet,Un peu familier,Non,Plutôt ouvert,Rarement,"{'Reconnaissance faciale/biometrique', 'Language Model'}","{'Gain de temps', 'Simplification des tâches quotidiennes'}",Non,,3,Oui,Pas du tout,Un peu,Non,"Mon domaine dactivite necessite du travail de terrain que l'IA ne peut pas effectuer et de lanalyse juridique. Tout les aspects de calculs et de dessins arctecturaux pourraient etre affecté, mais pas toute la profession pour autant.",Non,,Non,Oui,Oui,"Oui, certainement","Dans mon entreprise et secteur d'activité, l'IA serait utile pour le traitement des donnés 3D et la création d'outils pour gagner en temps sur ce genre de tâche au profit du travail d'interprétation.",Immobilier et Construction,Gestion de Projet,opé,1,2,1,0.0,1.0,2
06/05/2024 15:09:53,Femme,45-55 ans,Industrie,Ressources Humaines,Un peu familier,Non,Très ouvert,Parfois,"{'Reconnaissance faciale/biometrique', 'Language Model'}","{'Gain de temps', 'Amélioration de la productivité', 'Simplification des tâches quotidiennes'}",Non,,4,Non,Pas du tout,Partiellement,Non,xx,Non,,Oui,Oui,Oui,"Oui, certainement",Attention au risque que l'IA soit très genrée (fait par les hommes pour les hommes et non les femmes),Industrie et Technique,RH,sup,1,3,2,0.0,,2
06/05/2024 15:20:39,Homme,35-45 ans,Immobilier,Vente/Commercialisation,Un peu familier,Non,Très ouvert,Parfois,"{'Reconnaissance faciale/biometrique', 'Assistant vocal', 'Language Model'}","{'Gain de temps', 'Accès à des recommandations personnalisées', 'Amélioration de la productivité', 'Simplification des tâches quotidiennes'}",Non,,3,Non,Pas du tout,Pas du tout,Non,pas de crainte dans le métier de commercial B to C car il faut un contact humain qui peut aider à la prise de décision.,Non,,Non,Oui,Oui,"Oui, certainement",,Immobilier et Construction,Ventes et Marketing,opé,1,3,2,0.0,0.0,2
06/05/2024 15:20:56,Homme,25-35 ans,Construction et génie civil,Production/Fabrication,Un peu familier,Non,Plutôt ouvert,Rarement,"{'Gestion des relations client', 'Language Model'}","{'Amélioration de la productivité', 'Simplification des tâches quotidiennes'}",Non,,4,Non,Pas du tout,Pas du tout,Non,L'IA serait un atout pour augmenter en compétence.,Non,,Oui,Oui,Oui,"Oui, certainement",Comment l'IA est enseignée à L'EST?,Immobilier et Construction,Production,opé,1,2,1,0.0,0.0,2
06/05/2024 15:37:54,Femme,18-25 ans,Immobilier,Gestion immobilière,Un peu familier,Non,Plutôt ouvert,Rarement,"{'Reconnaissance faciale/biometrique', 'Assistant vocal', 'Language Model'}","{'Gain de temps', 'Amélioration de la productivité'}",Non,,3,Oui,Un peu,Un peu,Non,Il y aura toujours besoin de relations humaines dans le cadre de mon métier,Non,,Non,Oui,Oui,"Oui, certainement",,Immobilier et Construction,Immobilier,opé,1,2,1,1.0,1.0,2
